Site Name,Site Number,Hours of Operation,Street Address,City,State,Zipcode,Public Health Nursing,Family Case Management,Healthy Start Program,Healthy Families Program,WIC,Phone 1,Phone 2,Phone 3,Phone 4,Phone 5,Fax 1,Fax 2,Location
Austin Clinic,19,Monday - Friday (8:00 a.m. - 4:00 p.m.),4909 W. Division St.,Chicago,IL,60651,,,,,Y,312-746-4797,312-746-4796,,,,312-746-4799,,"4909 W. Division St.
Chicago, IL 60651
(41.90234088000045, -87.74920044099969)"
West Town NHC,12,"Monday, Wednesday & Friday (8:00 a.m. - 4:00 p.m.) Tuesday & Thursday (10:00 a.m. - 6:00 p.m.)",2418 W. Division St.,Chicago,IL,60622,,,,,Y,312-744-8118,312-744-8119,,,,312-742-3415,,"2418 W. Division St.
Chicago, IL 60622
(41.90302998900046, -87.68782578699967)"
Greater Lawn Health Center,5,Monday - Friday (8:00 a.m. - 4:00 p.m.),4150 W. 55th St.,Chicago,IL,60632,,Y,,,Y,312-747-5415,312-747-5416 ,312-745-0062,312-745-0064,312-745-0065,312-745-1435,,"4150 W. 55th St.
Chicago, IL 60632
(41.79318157600045, -87.72724104499969)"
Near West,15,Monday - Friday (8:00 a.m. - 4:00 p.m.),2310 W. Roosevelt Rd.,Chicago,IL,60608,,,,,Y,312-746-8990,312-746-8799,,,,312-746-7944,,"2310 W. Roosevelt Rd.
Chicago, IL 60608
(41.86667523800048, -87.68421211099968)"
"Asian Human Services Family Health Center, Inc.",,"Monday, Wednesday, Thursday & Friday (9:00 a.m. - 5:00 p.m.) Tuesday (11:00 a.m. - 7:00 p.m.)",2424 W. Peterson Ave.,Chicago,IL,60659,,,,,Y,773-761-0011 ext. 116,,,,,773-761-0008,,"2424 W. Peterson Ave.
Chicago, IL 60659
(41.99050085200048, -87.69051008999969)"
Westside Health Partnership,121,Monday - Friday (8:00 a.m. - 4:00 p.m.),2400 S. Kedzie Ave.,Chicago,IL,60623,,,,,Y,773-522-0716,773-522-0780,,,,773-522-7605,,"2400 S. Kedzie Ave.
Chicago, IL 60623
(41.848021136000455, -87.70514061899968)"
WIC Main Office,,Monday - Friday (8:00 a.m. - 4:00 p.m.),"333 S. State St., 2nd Floor",Chicago,IL,60604,,,,,Y,312-747-9140 ,312-747-9141,,,,312-747-8799,,"333 S. State St., 2nd Floor
Chicago, IL 60604
(41.87776425800047, -87.62763567699966)"
South Chicago,33,Monday - Friday (8:00 a.m. - 4:00 p.m.),2938 E. 89th St.,Chicago,IL,60617,,Y,,Y,Y,312-747-7969,312-747-2708,312-747-6839,,,312-745-2576,,"2938 E. 89th St.
Chicago, IL 60617
(41.73374489600047, -87.55253176899964)"
Friend Family Health Center Inc.,23,Monday - Friday (8:00 a.m. - 4:00 p.m.),800 E. 55th St.,Chicago,IL,60615,,,,,Y,773-702-3719,,,,,773-702-9377,,"800 E. 55th St.
Chicago, IL 60615
(41.79464404000049, -87.62570638499966)"
Englewood NHC,28,"Monday, Wednesday & Friday (8:00 a.m. - 4:00 p.m.) Tuesday & Thursday (10:00 a.m. - 6:00 p.m.)",641 W. 63rd St.,Chicago,IL,60621,Y,Y,Y,,Y,312-747-4814,312-747-4815,312-747-1241,312-747-1625,312-747-1626,312-745-7654,,"641 W. 63rd St.
Chicago, IL 60621
(41.77979320500049, -87.64095807999968)"
Henry Booth House,103,Monday - Friday (9:00 a.m. - 5:00 p.m.) Saturdays (9:00 a.m. - 4:00 p.m.),2907 S. Wabash,Chicago,IL,60616,,,,,Y,312-225-1982 ,312-949-2132,312-949-2156 ,312-949-2129,,312-225-6324 ,,"2907 S. Wabash
Chicago, IL 60616
(41.841746928000475, -87.62515923099966)"
Alivio Medical Center,106,"Monday, Tuesday, Thursday & Friday (8:00 a.m. - 4:30 p.m.) Wednesday (10:30 a.m. - 7:00 p.m.)",2355 S. Western Ave.,Chicago,IL,60608,,,,,Y,773-843-4220,773-843-4221,,,,773-650-1232,,"2355 S. Western Ave.
Chicago, IL 60608
(41.848520075000465, -87.68553107799966)"
Lower West Side NHC,17,Monday - Friday (8:00 a.m. - 4:00 p.m.),1643 W. Cermak St. ,Chicago,IL,60608,,Y,,,Y,312-747-1650,312-747-1651,312-747-1652,312-747-1653,,312-747-1648,,"1643 W. Cermak St.
Chicago, IL 60608
(41.85227227900049, -87.66739075899966)"
Uptown NHC,1,"Monday, Wednesday & Friday (8:00 a.m. - 4:00 p.m.) Tuesday & Thursday (10:00 a.m. - 6:00 p.m.)",845 W. Wilson Ave.,Chicago,IL,60640,Y,Y,,,Y,312-744-0073,312-744-1365,312-744-1324,312-744-1353,312-744-0186,312-742-1733,,"845 W. Wilson Ave.
Chicago, IL 60640
(41.96543246700048, -87.65107052999969)"
Erie Health Center ,,Monday - Friday (8:30 a.m. - 5:00 p.m.) Every 3rd Wednesday (10:00 a.m. - 6:00 p.m.),1701 W. Superior St.,Chicago,IL,60610,,,,,Y,312-432-7372 ,,,,,312-666-6228,,"1701 W. Superior St.
Chicago, IL 60610
(41.8951041200005, -87.6698091459997)"
Lakeview NHC,76,Monday - Friday (8:00 a.m. - 4:00 p.m.),2849 N. Clark St.,Chicago,IL,60657,,Y,,,Y,312-744-1027,312-744-1129,,,,312-744-5544,,"2849 N. Clark St.
Chicago, IL 60657
(41.934051447000456, -87.64583106299966)"
