Community Area Number,Community Area Name,Births 1999,Births 2000,Births 2001,Births 2002,Births 2003,Births 2004,Births 2005,Births 2006,Births 2007,Births 2008,Births 2009
1,ROGERS PARK,79,93,113,98,148,186,169,147,160,140,125
2,WEST RIDGE,80,73,126,153,238,332,266,195,212,157,151
3,UPTOWN,80,54,86,89,104,156,115,83,115,147,106
4,LINCOLN SQUARE,32,30,66,60,110,113,87,90,83,106,86
5,NORTH CENTER,35,25,30,25,44,54,69,61,106,136,108
6,LAKE VIEW,82,47,70,47,115,123,88,119,205,277,221
7,LINCOLN PARK,65,39,41,31,104,75,79,103,133,241,175
8,NEAR NORTH SIDE,106,68,68,51,115,122,94,115,153,251,196
9,EDISON PARK,3,2,1,4,6,8,9,9,9,15,10
10,NORWOOD PARK,3,7,13,12,19,34,29,20,31,24,19
11,JEFFERSON PARK,12,4,16,13,22,30,33,26,42,20,24
12,FOREST GLEN,5,14,16,15,23,36,36,31,22,37,22
13,NORTH PARK,4,10,34,28,54,55,68,36,37,23,15
14,ALBANY PARK,89,46,125,85,170,246,195,93,111,108,116
15,PORTAGE PARK,44,15,52,37,78,101,99,63,100,87,97
16,IRVING PARK,83,28,78,63,119,151,115,75,102,123,100
17,DUNNING,16,14,19,17,23,39,32,25,40,39,32
18,MONTCLARE,12,2,6,8,12,15,12,10,16,13,24
19,BELMONT CRAGIN,97,29,67,59,119,194,130,104,155,148,222
20,HERMOSA,39,15,17,21,33,52,61,28,59,53,57
21,AVONDALE,64,19,33,27,71,94,68,70,79,101,118
22,LOGAN SQUARE,100,40,63,52,98,165,123,103,163,214,179
23,HUMBOLDT PARK,75,28,35,39,86,157,97,74,133,144,140
24,WEST TOWN,103,49,76,45,95,137,110,134,200,305,288
25,AUSTIN,50,33,43,66,135,195,173,99,111,131,126
26,WEST GARFIELD PARK,9,6,6,4,7,16,15,13,17,19,11
27,EAST GARFIELD PARK,5,3,8,10,16,19,15,13,20,18,18
28,NEAR WEST SIDE,19,19,31,21,30,35,41,37,90,134,112
29,NORTH LAWNDALE,14,8,13,15,14,23,22,15,31,31,26
30,SOUTH LAWNDALE,33,14,8,14,38,71,37,44,78,54,55
31,LOWER WEST SIDE,25,9,18,8,12,22,11,20,20,23,25
32,LOOP,7,9,8,7,9,9,18,20,29,56,46
33,NEAR SOUTH SIDE,12,7,6,7,21,21,7,16,40,73,58
34,ARMOUR SQUARE,2,6,3,0,5,0,0,2,5,9,6
35,DOUGLAS ,12,7,3,6,4,5,9,18,20,15,16
36,OAKLAND,1,2,4,2,4,1,2,3,4,6,7
37,FULLER PARK,1,1,1,1,0,4,0,2,3,1,4
38,GRAND BOULEVARD,22,11,6,11,7,9,12,14,11,29,26
39,KENWOOD,8,11,8,11,14,9,7,8,17,24,24
40,WASHINGTON PARK,9,10,5,4,8,3,5,13,7,7,12
41,HYDE PARK,8,10,7,16,12,10,15,13,15,18,17
42,WOODLAWN,9,8,11,14,23,11,8,6,8,9,20
43,SOUTH SHORE,39,22,25,24,48,24,27,26,34,47,70
44,CHATHAM,12,16,8,14,19,15,14,19,16,25,21
45,AVALON PARK,2,1,2,1,3,7,3,5,2,6,4
46,SOUTH CHICAGO,15,9,8,16,15,14,11,10,21,25,25
47,BURNSIDE,0,1,2,0,2,1,0,1,0,0,2
48,CALUMET HEIGHTS,5,3,4,6,4,3,4,7,4,4,6
49,ROSELAND,11,18,16,35,17,16,13,22,21,17,17
50,PULLMAN,1,3,1,6,1,2,0,5,1,7,7
51,SOUTH DEERING,8,2,1,2,4,6,2,8,13,21,11
52,EAST SIDE,1,4,3,4,5,6,5,5,37,27,53
53,WEST PULLMAN,19,20,13,23,19,17,12,16,20,10,19
54,RIVERDALE,4,2,4,14,4,5,3,3,4,4,2
55,HEGEWISCH,4,3,3,1,0,1,2,1,31,30,27
56,GARFIELD RIDGE,8,7,10,10,20,24,18,23,19,33,25
57,ARCHER HEIGHTS,7,4,3,3,3,14,12,11,19,19,17
58,BRIGHTON PARK,25,14,18,18,17,44,26,17,38,50,32
59,MCKINLEY PARK,3,7,4,4,13,10,6,10,8,20,11
60,BRIDGEPORT ,7,11,3,13,11,16,15,20,37,35,22
61,NEW CITY,44,18,12,22,21,39,27,25,35,35,44
62,WEST ELSDON,12,4,3,4,5,17,7,17,18,18,16
63,GAGE PARK,13,13,14,13,17,37,24,18,34,32,32
64,CLEARING,7,6,7,7,4,10,13,13,21,24,20
65,WEST LAWN,5,6,7,5,17,22,23,20,24,38,25
66,CHICAGO LAWN,36,18,14,27,28,34,22,16,32,35,28
67,WEST ENGLEWOOD,39,31,13,29,26,22,13,15,17,14,30
68,ENGLEWOOD,47,33,17,15,31,27,11,26,21,21,21
69,GREATER GRAND CROSSING,20,14,13,28,29,19,17,23,23,17,37
70,ASHBURN,8,9,4,10,24,15,15,16,17,30,23
71,AUBURN GRESHAM,15,22,13,14,22,18,23,10,25,23,28
72,BEVERLY,4,3,4,3,9,13,7,9,8,21,21
73,WASHINGTON HEIGHTS,3,5,1,13,7,7,9,8,7,14,10
74,MOUNT GREENWOOD,0,2,2,2,2,1,3,2,6,6,3
75,MORGAN PARK,6,3,5,6,7,11,11,9,17,18,9
76,O'HARE,7,5,3,14,6,26,17,12,13,12,11
77,EDGEWATER,67,54,76,60,106,146,123,94,111,115,82
0,CHICAGO,2086,1345,1800,1785,2965,3905,3163,2746,3798,4472,4093
